,f1,f2,f3,f4,f5
22,1.411027,0.322611,0.368712,-0.275421,-0.052065
65,0.596021,-0.436259,-0.072447,-0.302861,0.003924
107,-0.762323,-1.010039,-0.63965,-0.151943,1.221684
76,-0.694405,-0.824949,-1.080808,-0.261701,-0.150045
45,0.731855,0.230065,0.116621,-0.138223,-0.318012
28,-0.35482,0.378138,-0.576627,-0.261701,-0.164042
79,-0.422737,-0.658368,-0.576627,-0.247982,-0.360004
10,0.731855,0.081993,-0.009424,-0.261701,-0.387998
31,0.392269,0.13752,-0.009424,-0.398899,-0.346007
24,1.003524,-0.380732,0.116621,-0.302861,0.171891
83,0.120601,1.877368,0.998938,-0.35774,-0.513973
95,1.139358,-1.454256,-0.765695,1.823703,0.78777
99,0.731855,-1.17662,-0.63965,2.715488,0.255875
15,0.528104,-0.010552,0.053599,-0.220542,-0.42999
34,0.528104,-0.029061,-0.261514,-0.234262,0.059913
20,0.596021,0.156029,-0.450582,-0.234262,-0.248026
70,0.324352,-0.436259,-0.072447,-0.289141,-0.122051
85,-0.626488,0.52621,0.935915,-0.34402,-0.555965
36,0.663938,0.063484,-0.009424,-0.34402,-0.052065
4,0.120601,0.044975,-0.324537,-0.220542,-0.164042
92,0.120601,0.933408,-0.135469,-0.34402,-0.569962
66,-0.490654,-0.713895,-0.387559,-0.31658,-0.136048
64,-0.694405,0.044975,-0.324537,-0.124504,-0.639949
25,-0.558571,-0.121606,0.242666,-0.261701,-0.569962
13,0.052683,0.044975,-0.135469,-0.385179,-0.555965
97,-0.015234,-1.232147,-0.954763,-0.206822,-0.346007
33,0.120601,-0.269678,-0.135469,-0.220542,0.073911
30,0.731855,-0.399241,-0.072447,-0.35774,-0.094056
16,0.799772,-0.325205,-0.63965,-0.247982,-0.346007
12,-0.490654,-0.436259,-0.576627,-0.302861,-0.304015
9,0.052683,-0.325205,-0.009424,-0.289141,-0.038067
58,0.120601,-0.584332,-0.702672,-0.220542,0.059913
63,-0.35482,-0.528805,-0.702672,-0.34402,-0.471982
50,-0.015234,0.13752,-0.576627,-0.179383,-0.401996
32,-0.151068,0.211556,-0.198492,-0.31658,-0.401996
69,0.120601,-0.713895,-0.702672,-0.3303,-0.401996
67,-0.422737,-0.325205,-0.387559,-0.3303,-0.206034
18,0.120601,-0.436259,-0.135469,-0.151943,0.353855
52,0.392269,-0.325205,-0.324537,-0.220542,-0.569962
105,1.886447,-1.620837,-1.143831,4.032586,0.6338
81,0.188518,1.08148,-0.009424,-0.31658,-0.555965
84,-1.30566,1.84035,3.267751,-0.289141,-0.569962
6,-0.083151,0.52621,-0.63965,-0.31658,-0.108053
42,0.596021,-0.639859,0.053599,-0.193103,0.395847
68,1.478944,-0.029061,-0.324537,-0.31658,0.101905
48,0.392269,0.174538,0.179644,-0.165663,-0.58396
100,2.226033,-0.843458,-0.198492,0.82216,1.473635
55,0.528104,1.099989,-0.765695,-0.261701,-0.332009
71,0.663938,-0.676877,-0.576627,-0.275421,-0.304015
